Acentroscelus albipes Simon, 1886 | Brazil
Acentroscelus gallinii Mello-Leitão, 1943 | Argentina
Acentroscelus granulosus Mello-Leitão, 1929 | Brazil
Acentroscelus guianensis (Taczanowski, 1872) | Peru, French Guiana
Acentroscelus muricatus Mello-Leitão, 1947 | Brazil
Acentroscelus nigrianus Mello-Leitão, 1929 | Brazil
Acentroscelus peruvianus (Keyserling, 1880) | Peru
Acentroscelus ramboi Mello-Leitão, 1943 | Brazil
Acentroscelus secundus Mello-Leitão, 1929 | Brazil
Acentroscelus singularis (Mello-Leitão, 1940) | Guyana
Acentroscelus versicolor Soares, 1942 | Brazil
Aphantochilus cambridgei Canals, 1933 | Argentina
Aphantochilus inermipes Simon, 1929 | Brazil
Aphantochilus rogersi O. Pickard-Cambridge, 1871 | Panama to Paraguay
Bucranium affine (O. Pickard-Cambridge, 1896) | Mexico
Bucranium pulchrum (Bryant, 1940) | Cuba
Bucranium spinigerum O. Pickard-Cambridge, 1891 | Guatemala
Bucranium taurifrons O. Pickard-Cambridge, 1881 | Venezuela, Guyana, Peru, Brazil, Paraguay
Carcinarachne brocki Schmidt, 1956 | Ecuador
Ceraarachne blanci (Mello-Leitão, 1917) | Brazil
Ceraarachne germaini Simon, 1886 | Brazil
Ceraarachne goyannensis Mello-Leitão, 1929 | Brazil
Ceraarachne varia Keyserling, 1880 | Colombia
Coenypha antennata (Tullgren, 1902) | Chile
Coenypha ditissima (Nicolet, 1849) | Chile, Argentina
Coenypha edwardsi (Nicolet, 1849) | Chile, Argentina
Coenypha foliacea Machado & Grismado, 2023 | Chile
Coenypha nodosa (Nicolet, 1849) | Chile
Coenypha trapezium Machado & Grismado, 2023 | Chile
Deltoclita bioculata Mello-Leitão, 1929 | Brazil
Deltoclita rubra Mello-Leitão, 1943 | Brazil
Deltoclita rubripes (Keyserling, 1880) | Peru, Brazil
Diaea spinosa Keyserling, 1880 | Colombia
Epicadinus biocellatus Mello-Leitão, 1929 | Brazil, Peru?
Epicadinus spinipes (Blackwall, 1862) | Brazil
Epicadinus trispinosus (Taczanowski, 1872) | Mexico, Panama, Ecuador, Peru, Bolivia, Trinidad and Tobago, French Guiana, Brazil
Epicadinus villosus Mello-Leitão, 1929 | Brazil, Paraguay, Uruguay, Argentina
Epicadus camelinus (O. Pickard-Cambridge, 1869) | Peru, Bolivia, Brazil
Epicadus dimidiaster Machado, Teixeira & Lise, 2018 | Colombia, Peru, Brazil
Epicadus granulatus Banks, 1909 | Costa Rica, Peru, Brazil 
Epicadus heterogaster (Guérin, 1829) | Costa Rica, Panama, Colombia, Venezuela, Guyana, Ecuador, Peru, Bolivia, Brazil, Paraguay, Argentina
Epicadus pulcher (Mello-Leitão, 1929) | Bolivia, Brazil
Epicadus rubripes Mello-Leitão, 1924 | Brazil
Epicadus stelloides (Walckenaer, 1837) | Puerto Rico, Virgin Is., Venezuela, Brazil
Epicadus taczanowskii (Roewer, 1951) | Hispaniola, Costa Rica, Panama to Peru, Bolivia, Brazil
Epicadus tigrinus Machado, Teixeira & Lise, 2018 | Costa Rica, Panama
Epicadus trituberculatus (Taczanowski, 1872) | Mexico, Panama, Peru, Bolivia, French Guiana, Brazil, Argentina
Epicadus tuberculatus (Petrunkevitch, 1910) | Panama, Ecuador, Peru, Brazil
Erissoides striatus Mello-Leitão, 1929 | Brazil
Erissoides vittatus Mello-Leitão, 1949 | Brazil
Erissus angulosus Simon, 1895 | Brazil
Erissus bateae Soares, 1941 | Brazil
Erissus bilineatus Mello-Leitão, 1929 | Brazil
